class;question
RES;Which TNT show has Christopher Franke as artist?
RES;What would be a common border of Siberia and the shimsa plateau?
BOOL;The Information: A History, a Theory, a Flood is a work of Isaac Newton?
RES;List all the locations of the companies whose are also located in Rancho Cucamonga, California ?
RES;Name the university with affiliations as Graham Holdings Company and campus at Indiana?
RES;Greek writers have won which award?
RES;In which nation does the league take place where C.D. Primeiro de Agosto play?
RES;Where are ethnic group located which speak Nebraskan?
RES;In which war did Roh Tae Woo and Lee Leffingwell fight?
RES;For which reasons have the ones born in Edinburgh, died?
RES;What company developed Mac OS 9 and also brought Tiny Tower to the market?
RES;What is the largest city of the country which have an assembly of Plymouth Savoy?
RES;What is the religion of the ethnic group to which Clara Ng belongs?
RES;What is the affiliation of Vanderbilt University Medical Center ?
NUM;How many scientist became famous for the battle of Occupation of Japan?
BOOL;Did Steve Sampson manage a club of Santa Clara university
RES;In which municipalities does the NYC housing authority own buildings?
RES;What have been made in the state whose capital is Boston?
RES;Name the military conflict whose commander was Colin Powell and took place in israel ?
RES;Where do the judge advocate general corps live?
RES;List the universities with athletics NCAA Division I Football Bowl Subdivision ?
RES;Who is the builder of the Stadium of Costa Rica women's national football team?
NUM;How many sitcoms were produced by the company whose predecessor was the Desilu Productions
RES;What city is the residence of Cheryl Teigs?
RES;Which basketball team's coach is Kurt Rambis?
RES;Who is the successor of Quest Software ?
RES;What are some other destinations covered by the airlines whose flights go to the Mediterranean sea?
RES;Where is the  assembly of Caterpillar 797 ?
RES;What is the official residence of the senator who is the deputy of Everett Dirksen?
RES;What are the organisation founded in Texas and Dallas?
RES;Name the television show whose voice is given by  April Stewart and theme music composer is Primus (band)?
RES;Name the constituency of  Jonas Gahr Stre ?
RES;Which players have represented Los Angeles Angels of Anaheim?
RES;Where did Goran Cengic die?
RES;What is the profession of Claiborne Pell ?
RES;Which former team of the Harry Parker (baseball) is the  debut team of the Carl Sitton?
RES;What are the county seats of the region which operates the Boeing Field?
RES;Where is the hometown of A Bartlett Giamatti?
RES;What are the professions of Frederick Frelinghuysen (general) ?
BOOL;Did Henry Ford design the Model C?
RES;Name the species of Southwest African lion ?
NUM;Count the sports played at universities located in Urban Areas?
RES;What is the mountain whose parent mountain peak is Nevado de Toluca?
BOOL;Was Just Another day made by Queen Latifah?
RES;Who was the narrator in the point?
BOOL;Is Stephanie Rice the flagbearer of Australia at the 2008 Summer Olympics?
RES;What is the home town of the Band which is the previous work of Sammy Hagar & Friends ?
BOOL;Did Carolyn Heinrich study at the Vanderbilt?
RES;In which state do darren brass and belvin perry live?
RES;List all the school of the rugby player whose one of the school is Michael House ?
RES;What is the official residence of the Christopher Daz Figuero which is also the  state of the Cruce a Nado Internacional
RES;What is the national origin of Focke-Wulf Fw 260 ?
RES;What is manufactured by a company founded by Akio Morita?
RES;What is the award presented by Downtown Athletic Club and Yale Club NYCity?
RES;What is the name of the river whose mouth country is Mozambique and source region is North-Western Province, Zambia?
RES;List the races of Fergie Sutherland?
RES;Games on amiga are typically of what kind?
RES;Where is the gold coast football club located?
RES;Which shows are similar to the ones produced by Phil Collinson?
RES;What is the country whose leader name is Grard Larcher?
RES;Who was the influencer of Dave Attel who also starred in Adios Amigo?
RES;Name the wine regions of Baco noir?
RES;What is the awards won by the producer of From the Life of the Marionettes ?
RES;What  is the meaning of the Isa (name) which is also a relegion of Sacred Heart Convent School (Bangkok) ?
RES;List the doctoral students of Harry Harlow ?
RES;List the major shrines of the saints whose one of the shrine is St. Takla Haymanot's Church ?
RES;Which currency is used by the record label of the Way to Your Heart?
RES;In which department does Raymond Baldwin work?
RES;Where did the fashion designer study who died at the Stony Brook University Hospital?
BOOL;Was mother teresa beatified by John Paul the second?
RES;Which company of Ford Theatre is the owning organization of F0ord Kansa City Assemply Plant ?
RES;What is the religion of the relatives of Ananda Weerasekara?
RES;Which religion did both anupong paochinda and udit raj follow?
RES;Who are all the people who used to figure skate with the current partner of Alexa Scimeca?
RES;Isaac Hayes has acted in which movies ?
RES;What is the citizenship of the Sarah Kazemy and land of the Cervelle de canut
RES;Movie's produced by Michael Deeley has Jordan Cronenweth as director of photography
RES;What is the company that has products with Windows RT as its OS?
NUM;How many buildings are located in the jurisdiction of John Tory?
RES;Name some software as a service?
RES;List down the associated musical artist of the writer of Rain Is a Good Thing ?
RES;Who founded the league which was won by Joe McKeehen?
NUM;How many companies were founded in Menlo Park, California?
RES;Which European Broadcasting Union's TV show has opening theme as Te Deum ?
RES;Give me all martial artists trained by Joe Schilling.
RES;Name the musical band of Written in the Stars ?
NUM;Carl Sagan has penned books on how many matters?
RES;What is the venerated in of Edwin of Northumbria ?
BOOL;Is william doyle the chairman of Georgetown university?
RES;Where was Picasso's Last Words recorded ?
RES;What is the hub airport of Pawan Hans, and is also the largest city of India?
RES;What is the occupation of the people who are born in Iowa?
RES;Where all does the sister station of virgin radio play?
RES;Under whom did Charles Drummond Ellis do his PhD?
NUM;How many have company as Paramount Television and network as NBC are there?
RES;Under which president did some politicians live in Kensington?
RES;Ontario's ice hockey players have been a part of which teams?
RES;What race of Linda Hogan is the state of origin of the Holmes Colbert ?
RES;Who is the author of Karakuri Dji Ultimo ?
RES;What is the official residence of Fergus McMaster ?
NUM;Count the different causes of death of Christians.
NUM;How many players debuted their careers from San Francisco 49ers?
RES;Name the TV shows whose developer is J. Michael Straczynski and executive producer is Douglas Netter?
RES;What is the company whose one of the key person is Dennis Muilenburg and produces Boeing CH-47 Chinook ?
RES;Which company is located in Harris County, Texas?
BOOL;Is north america one of the destinations of airtours airways?
RES;Which memeber of South Asia SubRegional Economic cooperation is also the nationality of Aishath saffa ?
RES;Which board memeber of jimmy Wales also owns Latvian Wikipedia ?
RES;Which baseball team is managed by Bruce Bochy?
RES;What are the musicals based on, whose lyricist was Shelon Harnick?
RES;Who has given guest appearances on the TV Episodes whose was music done by Mama Makes 3?
RES;What series is Mazes of Time from, and is produced by BBC multimedia?
BOOL;Is Audie Murphy buried in the Arlington national cementery?
RES;What are the universities where athletics is regulated by National Collegiate Athletic Association?
RES;Which  office holder's resting place is Alta Mesa Memorial Park and Henry E. Catto, Jr. as predecessor ?
RES;Name the TV show whose network is NBC and is the subsequent work of Fraiser ?
NUM;How many had their debut team coached by Chip Kelly?
RES;Who is the scientist whose academic advisor was Karl Ewald Hasse?
RES;Malaysian highway authority has designed bridges over what things?
RES;Which labels have published songs written by Harry Connick Jr?
RES;List the academic discipline of the journals whose publisher is SAGE Publications.
RES;What is the government type of Kumta ?
RES;whose is famous works are Maniac Magee and Wringer ?
RES;what kind of games can I find for PC 9800?
RES;After the death of which political figure, did the Coalition Provisional Authority came into power?
RES;Who owns the radio stations in Alabama?
RES;Name the movie whose director is Stanley Kubrick and editor is Anthony Harvey?
RES;what are the nicknames of the people who are in Ekstraliga?
RES;List the alma mater of the person who is wedded to Sissela Bok.
RES;List all the members of the organization whose one of the members is Bangladesh ?
RES;Which sports are played in schools founded by Fr Almeida?
RES;What is the nationality of the economist who is one of the important people in the Foundation for Economic Education?
RES;List all discipline of the journals whose one of the discipline is Cerebral blood flow ?
RES;Which high school of jerry Tagge is also the nearest city of Tennie laura ?
NUM;In how many different places do Starwood hotels and resorts worldwide operate?
RES;Which athletics of Jaimatu Muslim Mindano is same as the genre of the Fritz Chess ?
NUM;How many utopian and dystopian fiction books are there?
RES;Which scientist is known for anthrax and has Karl Ewald Hasse as his academic advisor ?
RES;Who appointed the governor under whom Richard Winn works?
RES;Where is Vietnam Airlines located ?
RES;Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School, Kumasi ?
RES;Which TV show's company is PlayTone and is produced by Stephen E. Ambrose ?
RES;What is the route end of NorthSouth Transport Corridor ?
RES;List the architect of the buildings whose one of the  architect is Philip Webb?
RES;What is the residence of the bronze medalist of Alpine skiing at the women's downhill competition at the 1972 Winter Olympics?
RES;Who is the manufacturer of engine of Jeep Forward Control ?
RES;Which company founded in New Mexico manufactures Visual Studio ?
BOOL;Mazhar Ul Haq High School, Beerwah is affiliated to Islamic Religion
RES;Which government agency is run by Supachai Somcharoen?
RES;What is the owner of Ivanpah Solar Power Facility and the original developer of Dart?
NUM;Find the total number of  ingredient of the recepies whose ingredient is common Mushroom ?
RES;List all the tenants of the stadium where the WWF Summer Slam 2004 took place.
RES;Who were the founders of Sea Gayle Music?
RES;What religion's politicians are in the Malaysian Chinese association?
NUM;How many movies are directed by the spouse of Dolores del Ro?
RES;Which US state gave  us Brian Deegan and Harold Lyold?
RES;What are some bands out to texarkana?
RES;What is the military branch of John Tower ?
RES;In which country was GM was firt aired which is also the mouth country of Upper Neretva?
NUM;How many information appliance are manufactured by companies located in Taiwan?
NUM;How many people are in the England national football team?
RES;With which musical artist is the producer of Spotlight associated ?
RES;Where was the current champion of Egyptian Open born ?
BOOL;Is Tea the main ingredient of Lahpet?
RES;In what battles did president Park Chung-hee participate?
RES;who is the husband of Rosie Huntington Whiteley?
RES;What is the river whose tributary is Zarqa River?
RES;Who holds stock in the railway lines ending in Washington DC?
RES;Which religion does the leader of Church and Wellesley follow?
RES;Who are the local authority of Buckhurst Hill County High School ?
RES;Who made the singles on the famous album Aida?
RES;List all the former broadcast network of WMDN ?
RES;What company's founder is Jim Harris?
RES;Which religions are practiced in India?
RES;Which current player of Chicago Bulls was drafted by Los Angeles Clippers ?
RES;Which New Mexico company provides One Drive as a service ?
RES;What team has  players  born in Dominican Republic ?
RES;Name the party of Indira Gandhi ?
RES;Who was the opponent of Robert Carr, 1st Earl of Somerset ?
RES;What is the common country of Ganz UV and Balaton wine region ?
RES;What is the mascot of Celal Bayar University ?
RES;Whose resting place is William Henry Harrison Tomb State Memorial and has kids named John Scott Harrison?
RES;Why did Letita McTavish Hargrave and Sextus Barbour die?
RES;Name the constituency of Domenico Modugno ?
BOOL;Is michelangelo the painter of The Persian Boy?
RES;Name the president whose had relatives in Clinton family and lieutenant named Joe Purcell?
RES;What discipline was The Chess Monthly about ?
RES;Which saints were the messengers of Islam?
RES;tonle sap flows into which river?
RES;What awards were given to the producer of Chicken Little?
BOOL;Was GM first aired in Albania?
RES;What water bodies have primary inflows sa Kemijoki?
RES;Where was WiZeefa founded ?
RES;Which educational institution of Jack Mcgregor is also the alma mater of Donn barber ?
RES;Where is Richard Stites located ?
BOOL;was james watt a mechanical engineer?
RES;Which drinks have emerged from the US?
RES;Who composed the lyrics of Holler If Ya Hear Me ?
BOOL;Is Bluebird the grandsire of Miss Potential?
RES;What is the headquarters of the public transit system which is the system of Bottineau LRT ?
RES;What units are garrisoned in the Pentagon?
RES;What is the hometown of John Speraw ?
NUM;Count  the journals in the field of Philosophy.
RES;Which scientist advised a doctoral student named Erban Ieica?
RES;Where are the Dinamo Krasnodar players born?
RES;What is the hometown of Nader Guirat, where Josef Johansson was born too?
NUM;How many major shrine are there, of the saints whose beatified by Pope Pius XI ?
RES;Name the TV shows owned by divisions of CBS?
RES;What is the academic discipline of Journal of Cerebral Blood Flow & Metabolism ?
RES;What is the agency name of the Ministry of Information and Communication Technology (Thailand) and distribution region  of the Channel 9 MCOT HD ?
RES;Which gaming console's central processing unit is microprocessor and built by Sony?
RES;List the home stadiums of the teams in the Russian Premier League?
NUM;Give me an estimate number of races where horses grandsired by the Wild Risk have raced in?
RES;Give me the list of people who scaled mountains in Sierra Nevada?
RES;What is the name of the movie whose director of photography was Jordan Cronenweth and music composer was Vangelis?
RES;What are the common sports played by jamiatu Muslim mindanao and Polytechnic University of Philippines Taguig ?
NUM;Count the different origins of members of the Vitis Vinifera species.
RES;What magazine published Allal and is the employer of Peter Bergman?
RES;Where were Justina Machado and John Englehard born?
RES;Name the office holder who was married to Dolley Madison and has resting palce as Montpelier ?
RES;Where was David Scherman trained ?
RES;In which series has Sean Young portrayed someone?
RES;List all the hubs of the airline whose one of the hub is Subang, Indonesia ?
BOOL;Was the song The Boy is Mine recorded in Atlanta?
RES;Who is the president when Loretta Ucelli used to work for Democratic party?
RES;Who wrote the play in which Blanche DuBois is a character?
RES;Which district of Robert William Wilcox os the place of birth of Kamaloohua ?
RES;Where is the capital of Kelsey Creek located?
RES;What borders the valley which falls under Lake County, Oregon?
RES;What city is it where Wayne Allard governs and Juli Ashton was born?
RES;List the regions served by the company which serves in Pacific Ocean ?
RES;Which prime ministers were served by the governor who appointed Murray Gleeson?
RES;Name the fictional character painted by Josh Friedman and portrayed in Terminator Genisys ?
RES;What is the state of origin of the person who is the successor of Tetsugen Bernard Glassman?
RES;What city in the US was Alfred Phillips born in, and is the resting place of William Smith?
RES;Give me the name of the organization hqed at  Chaeng Watthana Govt Complex?
RES;Who is the writer of the singles whose producer is Peter-John Vettese?
NUM;Count the number of artist whose pone of the field is writing ?
RES;Which veterans served at CBS?
RES;What are some shareholders of the bridge maintained by the Massachusetts department of transportation?
RES;Name the team for which Cam Plante played for which were also the tenants of MasterCard center ?
RES;City of Miami Cemetery is the governing body of which city?
RES;List the movies whose editors are born in London.
BOOL;Does Shaun Thong a member of Audi?
BOOL;Is the chestnut white bellied rat a mammal?
RES;Who attended Great Ayton university?
RES;Where was Babita born ?
RES;What is the city whose mayor is Giorgos Kaminis?
RES;Which destinations of the Air 2000 is also the location continent of the Falken Tire ?
BOOL;Does Sonny Bill Williams belong in the Canterbury Bankstown Bulldogs club?
RES;Which field's journals are edited by Paul Morphy?
RES;Give me a list of everyone who manages the famous rock art sites?
RES;List the film starring of the movies whose editor is Harvey  Rosenstock ?
RES;Name hte builder of Baku Olympic Stadium ?
NUM;Count the awards received by Immunologists?
RES;In which mountain Inyo National Forest and California are located?
RES;What is the nickname of the club managed by Piotr baron?
NUM;For how many different teams have the players debuted in Houston Astros played?
RES;Rostock and Oulu is the shore cities on which sea ?
BOOL;Was winston churchill the prime minister of Selwyn Lloyd?
NUM;How many different things are used as ingredients in Sweden?
NUM;How many people have been the first one to scale a peak in the Yosemite Park?
RES;What are some licensees of the stations playing in Nashville, Tennessee?
RES;Which builder of Ford Straight-6 engine is also the automobile latform provider of Chiva bus ?
RES;List the awards given to the key people in Pixar ?
RES;Which distributer of Bombay Sapphire also makes Grewy goose ?
NUM;Count the total number of bacterias whose division is Firmicutes and domain is Bacteria?
NUM;Count me the number of people whose military unit is involved with Close air support ?
RES;What is the college of Malik Ausean which is also the college of Kyle Fuller ?
NUM;What are some other great things by the person who produced Queer as Folk?
BOOL;Does Jean Louis Arcand work for Geneva?
BOOL;Is facebook a public company?
RES;Under which scientist did doctoral students erban ieica and Erich Bagge study?
RES;Which rivers start in a country whose leader is Irene Mambilima?
NUM;Count the number of books whose author's were born in Alcal de Henares ?
RES;Name the show whose jury consist of Jennifer Lopez and Randy Jackson?
RES;List down all the baseball teams whose team manager was a Catcher?
RES; Which musical band produced the subsequent work of City of New Orleans ?
RES;What is the alma mater of the James Still which is also the alma mater of Tom Maniatis?
RES;Where is the stadium of west Papus football team ?
RES;What is the debut team of the football player whose college is UCLA Bruins football?
BOOL;Does Air 2000 fly to the north american continent?
RES;In which racing championships did Bobby Beasley and Martin Molony participate?
RES;What is the origin of the grape whose wine region is the Troodos Mountains ?
RES;Whose families are Buccinoidea and Buccinidae?
RES;Name the artist of Brad Paisley discography ?
NUM;Ernest Rutherford was the advisor of how many people?
RES;Name the TV show whose composer is Judy Hart Angelo and company as Paramount Television ?
RES;list all the chairman of Vancouver Whitecaps FC?
RES;What are some employees of Uni of California, santa cruz?
RES;Which municipality of the Brown's Corners, toronto also place of birth of Krista Kelly ?
RES;Which famous writer was married to Jill Krementz and had a son named Edith Vonnegut ?
RES;Name the nearest city to Tennie and Laura ?
NUM;How many TV shows have been created by Simon Fuller ?
RES;Who appointed the governor under which Robert Witherspoon worked?
RES;What is the area of ITV (Thailand) ?
RES;who all play for of the american football players at  Quarterback position?
RES;Name the office holder whose child is Lori Black and predecessor is Henry E. Catto Jr ?
RES;Which televion show's theme music was given by Ron Grainer and is broadcasted by BBC HD ?
RES;Name a person who was educated in Humes High School ?
RES;Where do I find buildings rented by Weber Thompson?
RES;What is the field of interest of the advisor of Henri Maspero ?
RES;Name the actor of Soylent Green to which Lydia Clarke is married ?
NUM;Count the cities whihch are on the same sea as that of Miami ?
RES;Name the stock holders of soccer club whose one of the stockholder is Carl Sanders ?
RES;Who are the key people of FWD.us?
RES;Who is the executive producer of Into the Dalek ?
RES;What team is famous for Robert Nederlander and also the debuting team of Gary Sanchez?
RES;List everyone who got their training in the city of California?
RES;Where are Thomas Franois Burgers and Johannes Gerhardus Strijdom buried?
NUM;Through how many cities does the river flowing into Arkansas go?
RES;What is the municipality of the Brown's Corners, Toronto and also the  place of birth of the George Karrys
BOOL;Does Richard Marx play guitar?
NUM;How many things are manufactured by the company whose subsidiary is Sony Corporation shareholders and subsidiaries?
NUM;What is the total number of office holders who preceded the people working under president bill clinton?
RES;In which other places are there companies which are in Ontario, too?
RES;What is the POD of the successor of Pmare I ?
RES;In which companies boards do the writers of Wikitionary belong?
NUM;How many nations' volleyball players have played for the Russian women volleyball team?
RES;Which office holder's governor is Charles Willing Byrd and has final resting place in North Bend, Ohio?
RES;What is the television show which has cast member as Jason Carter and network is TNT (TV channel)?
NUM;In how many places can I find people whose alma mater was in bachelor of arts?
BOOL;Is Gutenberg neighbouring with Madiswil?
RES;List the junctions which lie on U.S. Route 59 in Texas and U.S. Route 59 ?
BOOL;Does Mr. Jim's Pizza operate in the pizza industry?
RES;Which scientist's academic advisor is Georg Meissner and is known for invention of Anthrax ?
RES;Name the writer of South Park: The Stick of Truth ?
RES;Who owns Torrey Pines Gliderport?
RES;Who wrote a streetcar named desire?
RES;Which nationality of Newin Chidchob is also the nationality of Ajahn Sao Kantaslo ?
RES;What is the label of the album whose previous work is Waterfall?
RES;What is the label of things produced by the band If?
RES;Which automobile platform provider of Chiva bus is also the parent company of the Ford Falcon Cobra ?
RES;List the goverener of Winston Bryant?
NUM;Count the movies directed by Tim Burton and music composer Danny Elfman ?
RES;Erik Jendresen is writer and Play tone is company of which TV show ?
RES;From which genres of music did those genres emerge where drums are important?
RES;Which developer of  the Spider-Man: Edge of Time is the  successor of PlayStation 2 ?
RES;Who is the appointer of Earl B. Ruth ?
RES;What is the constituency of the leader of Labour Party (Norway)?
RES;Name the office holder who has a child named lori Black and Harvard Westlake school as one of the educational institute ?
RES;To which educational institutes is Samuel Isham associated to?
NUM;Give me a count of mammals whose family is Canidae?
RES;Which band produced the album Aida?
RES;Name the champion of National League ?
RES;Which European sea has Oulu as one of the shore city ?
RES;Name the team Ramiro Pea played for, which was also the first team of Steve Ontiveros?
NUM;List the total number of awards of the musicals who have won Tony Award?
RES;What is the debut team of people born in Vargas?
RES;What is the product of the BBC Multimedia and is the theme of Visions, the convention?
BOOL;Does the Jordan River start in the Golan Heights?
NUM;Count the awards received by the ones who fought the battle of france?
RES;List the military branch of  Henry Hyde ?
RES;What is the ethnicity of the Maike Evers and state of origin of the Theodor Hillenhinrichs ?
NUM;How many people play for the Dallas Cowboys?
BOOL;Was Reza Amrollahi born in Iran?
RES;What is the country whose administrative centre is Hagta, Guam?
RES;Which sports by Polytechnic University of the Philippines Taguig is the discipline of The Chess Monthly ?
RES;Which source country of SamurAbsheron channel is the birth place of Anar Salmanov ?
RES;List the resting place of the people who served in Norwalk Trainband.
RES;Who was the designer of john madden Football '92 ?
RES;Give me all magazines whose editors live in Chicago?
RES;Which company's cars are assembled in Iran?
RES;Which are the television show which have been created by Donald Wilson?
NUM;Count all the Colonels?
BOOL;Does the croton river flow into the hudson?
RES;What sports can be played at universities in Metro Manila?
RES;What team has Sam Keller and Jim McMilin played for?
RES;What has  location as Ontario?
RES;Where was Juno I launched from ?
RES;In which sects was the aristocrat venerated, whose parent is Thelred the Unready?
RES;Who won the ohio house of representatives, 2010?
RES;Name the common distributing label of the Chinga Chang Records and StandBy Records ?
RES;What is the draft team of Gene Conley ?
RES;What was a common first team at the 1967 Mexican Grand Prix and 1971 US one?
RES;What are some common ingredients used in Swedish dishes?
RES;Where did Rheinmetall MG 60 originated ?
BOOL;Did nokia 215 has the series 30+ OS?
NUM;Gregg Toland cinematographed how many things?
RES;What type of government is elected in Kumta?
RES;List the birth city of the politicians of Democratic Party.
BOOL;Was Tommy Tucker's Tooth animated by Walt Disney?
RES;What team does John McGeever play for, which also employed Ben Dreith at some time?
NUM;Give me the total number of lines owned by owner of Mwtro-Noth Railroad ?
RES;For which team do Guido Guerrini and Massimo Liverani currently play for?
RES;What is the governing body of Fort Monroe ?
RES;List the common sports played by Polytechnic University of the Philippines Bataan and Jamiatu Muslim Mindanao ?
NUM;How many television shows are broadcasted on Fox Broadcasting Company?
RES;What are some tv shows created by Simon Fuller?
RES;What is the place of birth of the Michael Marder which is also the  place of death of the Tigran Petrosian
RES;Who is married to Tony Ramo
NUM;How many states are in the Mediterranean Basketball Association?
RES;What is the title of the Kakae and also the district of the Robert William Wilcox ?
RES;Who wrote the singles on the Main Course?
RES;State the religion of the person known for People's Bank (Sri Lanka) ?
RES;To which US states does the roads belong which meet at the East Whiteland Township in Pennsylvania?
NUM;In how many places can I find people who were the architects of the Dundas Castle?
RES;List all the children of Barbara Bush?
RES;Name the notable work by Russell T Davis which is also the series of Doctor Who:Destiny of the Doctors ?
RES;Who oarent organization of Get TV is also the label provider of I Pray on CHristmas ?
RES;What company made facebook messenger and is the platform where Words of Gold can be played?
RES;Who wrote the frost king?
RES;Which company had built the rockets launched at the Cape Canaveral Air Force Station Space Launch Complex 17?
RES;Name a royalty whose one of the child is Augustus  and is associated with Publius Servilius Vatia Isauricus?
RES;Who trained the wrestlers who are billed in Wisconsin?
RES;Which currency of Republic of Montenegro is also the currency of the French Southern and Antarctic Lands ?
RES;Where are the movies directed by Faisal Aman Khan recorded?
RES;Where was the battle fought where 2nd Foreign Infantry Regiment participated  ?
NUM;How many cities are around the sea in which the ionian sea flows?
RES;Which team did Bill Murphy and Jean Segura play for?
RES;What is the administrative headquarters of Pulau Ujong ?
RES;What all is produced by companies in Douglas, Isle of Man?
RES;Miguel de Cervantes wrote the musical extended from which book?
RES;Which city amongst the one which belongs to Boundary Dam was the palce for Soccer Bowl '76 ?
RES;Which employer of Manu Cornet has alsoe written Google.by ?
RES;What is the common official residence of Lezlee Westine and Arnold W. Braswell?
RES;Who had headed the governmental agencies whose admin HQ was in Niederkirchnerstrasse?
RES;Where does the Kentucky cycle take place?
RES;Whichi  burial place of the Henri, Duke of Rohan is also the birth place of Michel Frutschi ?
RES;Which river's source mountain is Baikal Mountains and is located in Laptev Sea ?
RES;Among which sitcoms in which theme music is composed by Gary Portnoy is located in Massachusetts ?
RES;Name the movies distributed by Warner Bros. and directed by Ridley Scott ?
RES;WHich region of the Providence Chapel, Charlwood is also the region of the Joseph Case High School
RES;Name a river starting from arequipa region?
RES;What basketball league's champion is Golden State Warriors
RES;Name some people working at someplace owned by News Corp.
BOOL;Was Johnny Depp a member of Skull Gang?
RES;What is the basketball team whose President's college is Brockport Golden Eagles?
NUM;Count the number of fileds of the scientist whose one of the interest is Chinese poetry ?
RES;What organisations purpose is Peace?
NUM;In how many different teams have all those who have played as a defenceman been?
NUM;How many teams have used the stadiums which have been rented by the Canadian Hockey team?
NUM;How many teams have LA kings players in them currently?
BOOL;Is Hard Candy Fitness one of the divisions of Moscow?
RES;What is the television show whose developer is J. Michael Straczynski?
RES;list the organisation with motive for peace and environmentalism?
RES;What is the content license of Darcs ?
BOOL;Is Truth prevails the national motto of Czechoslovakia?
RES;Name a military unit whose command structure is United States Department of the Navy and garrison is Arlington County, Virginia?
RES;Which company developed both Dart and Go?
RES;In which country did Philippe tesnire and judson huss die?
RES;List all the artist of albums which have been produced by Stephen Kozmeniuk ?
BOOL;Is Olyokma River the right tributary of Lena River?
RES;Which colored race horses have won the Grand National?
RES;What is common between sports played at Fr Agnel School and Jr college, and the genre of Virtual Kasparov?
RES;What are other famous works of the writer who created the Sarah Jane Adventures?
RES;What is the mascot of the alma mater of Deborah Crombie?
RES;Where did the genres originate which can found in The Mudbloods?
RES;What is the resting place of the person who is the successor of James W. Hyatt ?
RES;Who wrote the mangas produced by Masahike Minami?
RES;Which contnet license provider of Microsoft Office Picture Manager is also the game platform of Google Clud Connect ?
RES;What is the mascot of military in Quezon city?
RES;What all are in the states whose anthem is Ja, vi esker dette landet?
RES;Which officers fought in the war of Siege of Fort Recovery?
RES;Which company builds Microsoft Azure and Microsoft Surface?
RES;return some  players who have played in the NBA?
RES;Name an airline with hub airports as Los Angeles International Airport and San Francisco International Airport?
RES;Give me all office holders who finally retired in Montpelier, Orange, Virgina?
NUM;Give me a count on scientist who are known for garrison is Tennessee ?
BOOL;Does Ronaldinho play in the brazil's under 23 team?
RES;Which river starts from the county seat of Heathsville, Virginia?
RES;Who owns the bank where Fabio Mercurio works?
RES;Who owns the horses which have won the Timeform award?
RES;What are some fictional characters whose voice is in the peanuts movie?
RES;What religion do people of the country of Mahbuba Islam Rakhi follow?
NUM;How many people used to play for Toronto Argonauts?
NUM;How many different people have been in any political seat in places which are under the Indian Standard timezone?
RES;The sports team which played at the American Basketball League championship (1996-1998), have which stadiums?
RES;Whose county seats are Mediolanum and History of Trier?
RES;"What is the national origin of Dornier Aerodyne and Hirth Acrostar ?;"
BOOL;Was Class Conflict an interest of Karl Marx?
NUM;Count the tenants of the stadiums owned by toronto.
RES;Name the president who has relations with Clinton family and had a lieutenant named Winston Bryant?
RES;What is the fictional character whose voice over is done by the animator of Dick Lundy ?
NUM;How many sports are played in organizations presided by Emanuel de Guzman?
RES;What are the home stadiums of the things Leonid Fedun has been the chairman of?
BOOL;Is Akan spoken in Ghana?
RES;Which region of English American is also the palce of Death of Brent Darby ?
RES;Who acted in the work written by Colin Brake?
BOOL;Is Robin Gibb the singer of Oh! Darling?
RES;List everything written in languages developed by EXperimental Computing Facility?
RES;What are some movies whose score is composed by relatives of Bodhi Elfman?
BOOL;Is the Chiva Bus by the Ford Motor Company?
RES;List the series of the books whose author is K. W. Jeter.
RES;What is the common university iof vanderbilt Commodores and also the college of hubert Wiggs ?
RES;Name the common architecture of the Grand Serail of Aleppo and Shaheed Minar, Kolkata ?
RES;What are the prizes awarded to the main members of DisneyToon Studios?
NUM;How many sports are played at the university whose president is Emanuel de Guzman?
NUM;Give me the count of interests of the philosopher whose primary interest is Metaphysics ?
RES;Who was buried at St. Mary's Church and fought the battle of  Benedict Arnold's expedition to Quebec ?
RES;On which subjects does the author of the novel Thud! delve?
RES;Who is the writer with notable works like Adventures of Huckleberry Finn and The Adventures of Tom Sawyer?
RES;Name the people living in a place governed by William W Brien?
RES;Name the river whose source is located in Ikelenge  District and mouth in Mozambique?
NUM;How many people won the Gold Medal of the Royal Astronomical Society?
RES;What are the relatives of the parliament member whose successor is Peter Thorneycroft?
RES;Which river's source country is Zambia and mouth country is Mozambique?
BOOL;Was the Funky Lab Rat released in North America?
RES;What is the main common interests of the Philip Novak and Timothy Morton?
NUM;How many members are there of the order of Bacillales?
RES;Which program was on NBC network with executive producer as Glen and Les Charles?
RES;Moscow-Kazan high speed railway starts from which station?
BOOL;Is Fluidinfo written in PostgreSQL language?
RES;Which neighboring municipalities of Cologny has a mayor named Ester Alder ?
NUM;How many people work in the Massachusetts house of Representatives?
RES;Which countries came together to serve a greater purpose and founded South Asia Subregional Economic Cooperation?
NUM;Count the number of religions followed by Janta Dal members.
BOOL;Did Johann Gottfried Galle invent Neptune?
RES;Who is the founder of Wuropean School, Karlsruhe ?
RES;Which football team is in a city where A J Clark was a builder?
RES;Which city near to Elliott Bay was the death place of George F. Moore ?
RES;Where does Kafue and Shire river flow into?
RES;Through which label has Katy B released her singles?
RES;List the teams for which Bobby Hoppe played ?
NUM;How many other characters are there of the plays which has a  characters name Joker (comics) ?
RES;Who first ascented a mountain of Cathedral Peak (California) ?
